Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
DogeDesigner,@cb_doge,2024-04-01T19:23:21.000Z,True,"𝕏 > Instagram, TikTok, Facebook",1K,1.3K,8.6K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1774880248368353365,tweet_id:1774880248368353365
BBC News (World),@BBCWorld,2024-04-03T21:55:12.000Z,True,World Central Kitchen founder José Andrés says Israel targeted staff in Gaza 'car by car',267,1K,2.1K,207K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775643236796707314,tweet_id:1775643236796707314
BBC News (World),@BBCWorld,2024-04-02T13:58:40.000Z,True,Who were the seven aid workers killed in Gaza?,240,309,571,190K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775160927463096776,tweet_id:1775160927463096776
Owen Benjamin,@OwenBenjamin,2024-04-03T18:26:51.000Z,True,"Listen, lots of my friends have made tons and tons of money on crypto while I cling to my little bag of silver. I realize that crypto has been more successful in the last several years than what I think would be. And I obviously admit that and people shouldn’t take investment…",129,65,1K,224K,[],[],[],https://pbs.twimg.com/profile_images/1703483438978973696/V2afg9sl_normal.jpg,https://twitter.com/OwenBenjamin/status/1775590806751183109,tweet_id:1775590806751183109
Andrew Tate,@Cobratate,2024-04-03T18:40:52.000Z,True,"Super valid. 

Worth a podcast someday.",46,22,935,59K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775594333585948906,tweet_id:1775594333585948906
billboard,@billboard,2024-04-02T20:45:40.000Z,True,Taylor Swift Is Officially a Billionaire,15,140,775,48K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775263353264591356,tweet_id:1775263353264591356
BBC News (World),@BBCWorld,2024-04-03T04:29:43.000Z,True,Will Truth Social post a financial bailout for Trump?,65,17,131,135K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775380134154977790,tweet_id:1775380134154977790
BBC News (World),@BBCWorld,2024-04-03T05:32:11.000Z,True,Three British aid workers killed in Israeli strike in Gaza named,342,481,1.1K,301K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775395854209237152,tweet_id:1775395854209237152
BBC News (World),@BBCWorld,2024-04-02T17:58:20.000Z,True,Tesla 'disaster' with fewest deliveries since 2022,80,39,161,471K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775221240740901276,tweet_id:1775221240740901276
MyDoge Wallet,@MyDogeOfficial,2024-04-02T20:13:00.000Z,True,Best doge meme wins Đ69.420! 🏆Like & Repost this post to participate. 🐕Upload your meme in the comments.💬,271,233,665,39K,[],[],"['\\U0001f3c6', '\\U0001f415', '\\U0001f4ac']",https://pbs.twimg.com/profile_images/1656530956801523719/SC7nEKMa_normal.png,https://twitter.com/MyDogeOfficial/status/1775255129299771891,tweet_id:1775255129299771891
DogeDesigner,@cb_doge,2024-04-02T20:20:36.000Z,True,Judges @MyDogeCTO @MyDogeCEO 🐕,5,1,50,3.9K,[],"['@MyDogeCTO', '@MyDogeCEO']",['\\U0001f415'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775257042628038756,tweet_id:1775257042628038756
BBC News (World),@BBCWorld,2024-04-03T15:41:35.000Z,True,Trump sues Truth Social co-founders over alleged mismanagement,146,102,256,175K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775549213272649775,tweet_id:1775549213272649775
BBC News (World),@BBCWorld,2024-04-03T01:18:01.000Z,True,Ukraine lowers combat call-up age to boost numbers,109,69,196,174K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775331892797096371,tweet_id:1775331892797096371
billboard,@billboard,2024-04-04T02:23:06.000Z,True,2024 MLB Season: How to Watch Baseball Games Online for Free Without Cable,9,1,16,9.8K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775710655443546193,tweet_id:1775710655443546193
Binance Futures,@BinanceFutures,2024-04-02T10:07:03.000Z,True,"Congratulations to BUID: 79*****52 on being our first winner of the Tesla Car Lucky Draw in second installment of #FuturesChallenge 🎉 

Don't worry, there are 3 weeks left to get your hands on your very own Tesla! 

Participate now ➡️ https://binance.com/en/futures-activity/futures-challenge…",258,120,701,137K,['#FuturesChallenge'],[],"['\\U0001f389', '\\u27a1\\ufe0f']",https://pbs.twimg.com/profile_images/1744925960380764160/YELlqTyV_normal.jpg,https://twitter.com/BinanceFutures/status/1775102637530337676,tweet_id:1775102637530337676
Jimmy Fallon,@jimmyfallon,2024-04-03T00:34:39.000Z,True,Tuesday already? Watch @LizaKoshy and me play #PASSWORD tonight at 10/9C on @NBC after #WeakestLink!,46,25,281,274K,"['#PASSWORD', '#WeakestLink']","['@LizaKoshy', '@NBC']",[],https://pbs.twimg.com/profile_images/1655958018729873408/0Ja9zBV0_normal.jpg,https://twitter.com/jimmyfallon/status/1775320976105885855,tweet_id:1775320976105885855
mia loves nicki,@derogatorytho,2024-04-02T06:52:06.000Z,False,I went to #GagCityDC alone and ended up w the sweetest girl next to me who was also alone & so fun  AND it was her bday 😭😭😭😭🩷🩷🩷 it was just a magical and fun night overall. I’m so overwhelmed and grateful,50,353,3.1K,119K,['#GagCityDC'],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001fa77', '\\U0001fa77', '\\U0001fa77']",https://pbs.twimg.com/profile_images/1692555836160114688/3YQIuN8__normal.jpg,https://twitter.com/derogatorytho/status/1775053576999420052,tweet_id:1775053576999420052
billboard,@billboard,2024-04-02T05:46:04.000Z,True,R.I.P. Michael McMartin.,4,7,37,27K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775036957904548163,tweet_id:1775036957904548163
Binance Research,@BinanceResearch,2024-04-03T11:47:16.000Z,True,"Time to look at this month's market insights!

Our research team analyzed the state of the crypto market and provided insights on Bitcoin ETF inflows, Ethereum's Dencun upgrade, Solana's DEX volumes, and more.

Check it out ⬇️",163,82,331,107K,[],[],['\\u2b07\\ufe0f'],https://pbs.twimg.com/profile_images/1252845039950024704/EudP1zeH_normal.jpg,https://twitter.com/BinanceResearch/status/1775490248652267774,tweet_id:1775490248652267774
Nima Owji,@nima_owji,2024-04-02T17:58:19.000Z,True,"#X is bringing the tip jar to the web app!

It was an iOS/Android feature for years and now it's finally finding its way to the web version!

Here, you can see a full list of the supported services!",43,77,280,97K,['#X'],[],[],https://pbs.twimg.com/profile_images/1767663852722806784/o3QDlFTq_normal.jpg,https://twitter.com/nima_owji/status/1775221238366892312,tweet_id:1775221238366892312
DogeDesigner,@cb_doge,2024-04-02T18:46:35.000Z,True,Cool Cool,3,1,30,3.2K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775233383230038501,tweet_id:1775233383230038501
BBC News (World),@BBCWorld,2024-04-02T06:04:05.000Z,True,Israeli government says it will block Al Jazeera from broadcasting,243,312,724,265K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775041494849581343,tweet_id:1775041494849581343
𝑻𝒉𝒆 𝑺𝒂𝒍𝒕 𝑶𝒇 𝑻𝒉𝒆 𝑬𝒂𝒓𝒕𝒉,@Shadaya_Knight,2024-04-03T19:33:53.000Z,True,"New Senegal president Bassirou Diomaye Faye and his two wives

In our African culture, divorce is a taboo. A man isn't allowed to divorce a woman unless she has committed infidelity, only that is unforgivable

As for a man wanting to divorce a woman because she's no longer young,…",120,279,1.5K,222K,[],[],[],https://pbs.twimg.com/profile_images/1624739119006982144/PH0c_LPN_normal.jpg,https://twitter.com/Shadaya_Knight/status/1775607674224210140,tweet_id:1775607674224210140
Olivia Rodrigo Daily,@DailyRodrigo,2024-04-02T02:51:58.000Z,True,"The deluxe tracks from “GUTS (spilled)” on this week’s Billboard Hot 100:

#14 “obsessed”
#58 “so american”
#75 “stranger”
#90 “scared of my guitar”
#99 “girl i’ve always been”",2,52,474,15K,[],[],[],https://pbs.twimg.com/profile_images/1760670996053516288/9g97hZu2_normal.jpg,https://twitter.com/DailyRodrigo/status/1774993147015114797,tweet_id:1774993147015114797
billboard,@billboard,2024-04-02T21:19:13.000Z,True,Janet Jackson Returns to Japan for Triumphant Together Again Tour Chronicling Legendary Career,13,125,596,53K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775271796176265400,tweet_id:1775271796176265400
Bitcoin Archive,@BTC_Archive,2024-04-02T20:59:28.000Z,True,"🔸Bitcoin has closed over $60,000 for 33 days in a row.

Consolidation then... 🚀",152,321,1.9K,101K,[],[],"['\\U0001f538', '\\U0001f680']",https://pbs.twimg.com/profile_images/1698747465178959872/oT_AJ0eq_normal.jpg,https://twitter.com/BTC_Archive/status/1775266824290267511,tweet_id:1775266824290267511
BBW_187,@RatchetMinaj187,2024-04-02T10:36:43.000Z,True,Ohhhhh I gots to have these😍😍😍💕,29,251,2K,166K,[],[],"['\\U0001f60d', '\\U0001f60d', '\\U0001f60d', '\\U0001f495']",https://pbs.twimg.com/profile_images/1769188295668375552/72PY0sca_normal.jpg,https://twitter.com/RatchetMinaj187/status/1775110105559687286,tweet_id:1775110105559687286
International Space Station,@Space_Station,2024-04-01T19:58:07.000Z,True,"We wear our solar glasses in space. 😎While millions of people on Earth watch the total solar #eclipse on April 8, astronauts aboard the space station will watch from 250 miles above. They’ll have three opportunities to view the ground shadow as they orbit Earth!…",130,376,2.3K,610K,['#eclipse'],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,https://twitter.com/Space_Station/status/1774888998655410243,tweet_id:1774888998655410243
Nima Owji,@nima_owji,2024-04-02T16:29:26.000Z,True,#X will soon let you save the trends from the Explore tab!,6,6,66,6.2K,['#X'],[],[],https://pbs.twimg.com/profile_images/1767663852722806784/o3QDlFTq_normal.jpg,https://twitter.com/nima_owji/status/1775198867320971425,tweet_id:1775198867320971425
DogeDesigner,@cb_doge,2024-04-02T16:31:59.000Z,True,Very cool,6,4,23,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775199510240637000,tweet_id:1775199510240637000
BBC News (World),@BBCWorld,2024-04-02T07:08:35.000Z,True,Country Garden: China property giant suspends shares in Hong Kong,43,29,96,113K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775057726638350386,tweet_id:1775057726638350386
Katy Perry Brasil,@katyperrybr,2024-04-03T22:59:10.000Z,True,"Reconhecem? O Dreamland Museu, em Gramado, Rio Grande do Sul inaugurou uma estatua de cera de Katy Perry.",6,40,64,9.6K,[],[],[],https://pbs.twimg.com/profile_images/1770645229206417408/wNx_SvSk_normal.jpg,https://twitter.com/katyperrybr/status/1775659336217284943,tweet_id:1775659336217284943
Bitcoin Magazine,@BitcoinMagazine,2024-04-02T17:01:22.000Z,True,"JUST IN: 🇺🇸 US government sends over 30,170 #Bitcoin worth $2 billion to Coinbase using Silk Road hack funds, Arkham data shows 👀",459,997,5K,828K,['#Bitcoin'],[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f440']",https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg,https://twitter.com/BitcoinMagazine/status/1775206906824446217,tweet_id:1775206906824446217
Binance Futures,@BinanceFutures,2024-04-03T12:55:09.000Z,True,"Struggling to level with VIPs? Now’s your chance to trade like a VIP9 on USDC-Margined contracts!

Enjoy ZERO maker fee and only 0.017% taker fee for all users！

Read more ➡️ https://binance.com/en/support/announcement/binance-introduces-limited-time-trading-fee-discount-for-usdc-margined-perpetual-contracts-2024-04-03-fc7732cf48cd49cf95e53aa479ed4deb…",66,60,245,76K,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1744925960380764160/YELlqTyV_normal.jpg,https://twitter.com/BinanceFutures/status/1775507329376723208,tweet_id:1775507329376723208
Jimmy Fallon,@jimmyfallon,2024-04-03T02:36:30.000Z,True,.#PASSWORD ON NOW!!!! #NBC and #PEACOCK,51,160,344,336K,"['#PASSWORD', '#NBC', '#PEACOCK']",[],[],https://pbs.twimg.com/profile_images/1655958018729873408/0Ja9zBV0_normal.jpg,https://twitter.com/jimmyfallon/status/1775351642537242987,tweet_id:1775351642537242987
Michael Saylor,@saylor,2024-04-02T12:05:28.000Z,True,Bet on the Future. #Bitcoin,644,1.3K,8.4K,317K,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1485632175932383235/8t0DGo6V_normal.jpg,https://twitter.com/saylor/status/1775132438575944161,tweet_id:1775132438575944161
tigerstylepro,@tigerstyIepro,2024-04-03T21:50:30.000Z,True,All Elite.,1K,1.3K,7.5K,421K,[],[],[],https://pbs.twimg.com/profile_images/1711420121904730113/IHy7n6Nf_normal.jpg,https://twitter.com/tigerstyIepro/status/1775642056733401286,tweet_id:1775642056733401286
lanie,@realavish,2024-04-03T22:02:24.000Z,False,him refusing to speak on the meaning behind boys & girls ?!?? 😭😭,3,3,61,1.5K,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1758678748701061120/yCNEmlhz_normal.jpg,https://twitter.com/realavish/status/1775645049273090171,tweet_id:1775645049273090171
Tudo Katy,@tudokatysite,2024-04-04T01:58:00.000Z,True,Novo vídeo de Katy Perry e Jared Leto durante o #iHeartRadioAwards que aconteceu na última segunda-feira.,3,16,136,3K,['#iHeartRadioAwards'],[],[],https://pbs.twimg.com/profile_images/1764485880238985216/PMgde82U_normal.jpg,https://twitter.com/tudokatysite/status/1775704340411326906,tweet_id:1775704340411326906
billboard,@billboard,2024-04-02T06:00:11.000Z,True,Global Citizen Festival to Return to Central Park in 2024,4,8,62,25K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775040510660329797,tweet_id:1775040510660329797
coneworld,@coneworldhq,2024-04-03T17:43:13.000Z,False,coneheads!! it’s time for u to find out which found heaven song u are!! ✪,162,285,467,47K,[],[],[],https://pbs.twimg.com/profile_images/1756060452000538624/4dG5ThZG_normal.jpg,https://twitter.com/coneworldhq/status/1775579822447829436,tweet_id:1775579822447829436
Robert Griffin III,@RGIII,2024-04-03T15:37:00.000Z,True,The Houston Texans are making the moves the Dallas Cowboys should have if they were really ALL IN.,241,1.1K,9.8K,842K,[],[],[],https://pbs.twimg.com/profile_images/1570464585068515328/PpGaKLjs_normal.jpg,https://twitter.com/RGIII/status/1775548061072118190,tweet_id:1775548061072118190
BBC News (World),@BBCWorld,2024-04-02T03:33:08.000Z,True,Person in Texas diagnosed with rare bird flu after contact with cattle,67,115,190,147K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775003506627272933,tweet_id:1775003506627272933
Sexyy Red,@SexyyRed314_,2024-04-03T19:32:14.000Z,True,I’m a freak I need it!,552,2.4K,11K,1.6M,[],[],[],https://pbs.twimg.com/profile_images/1673818361560719360/ifsY3mWk_normal.jpg,https://twitter.com/SexyyRed314_/status/1775607260657377630,tweet_id:1775607260657377630
kira,@kirawontmiss,2024-04-02T20:06:24.000Z,True,shut down that hospital PLEASE,1.3K,28K,302K,18M,[],[],[],https://pbs.twimg.com/profile_images/1636443983990669326/xm-YehdR_normal.jpg,https://twitter.com/kirawontmiss/status/1775253469911261591,tweet_id:1775253469911261591
billboard,@billboard,2024-04-02T18:15:08.000Z,True,How Michael Rubin — And His Posh Parties — Unite The Sports And Music Worlds,4,4,32,17K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775225467806650763,tweet_id:1775225467806650763
Aaron,@Aaronsfreakflag,2024-04-03T22:05:07.000Z,False,I know dumb ass Richy Jackson choreo when I see it,4,14,187,8.5K,[],[],[],https://pbs.twimg.com/profile_images/1561548289966833664/BdPzCHSq_normal.jpg,https://twitter.com/Aaronsfreakflag/status/1775645733489651914,tweet_id:1775645733489651914
kiri found heaven ✪,@kidkrowvinyls,2024-04-03T17:39:38.000Z,False,“where’d you go go alley rose” idk conan just text the gc,8,21,226,3.9K,[],[],[],https://pbs.twimg.com/profile_images/1775679091292909568/rAw6aREF_normal.jpg,https://twitter.com/kidkrowvinyls/status/1775578920823484775,tweet_id:1775578920823484775
Katy Perry is coming,@SwG_Katycat,2024-04-03T13:42:40.000Z,True,"🚨 ATTENTION KATYCATS AND ALL OUR FRIENDS
The industry has always been cruel to Katy Perry! We need to bring this to everyone's attention!! 
Reply to my tweet with#JUSTICEFORKATYPERRY 

Goal: 100 replies!!!",74,119,357,24K,['#JUSTICEFORKATYPERRY'],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1772641855337037824/sZ-zCrks_normal.jpg,https://twitter.com/SwG_Katycat/status/1775519286775443925,tweet_id:1775519286775443925
billboard,@billboard,2024-04-03T14:23:05.000Z,True,Endeavor Going Private in Deal With Majority Shareholder Silver Lake,6,4,29,15K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775529458893512962,tweet_id:1775529458893512962
BBC News (World),@BBCWorld,2024-04-02T06:05:06.000Z,True,Chile: Woman steals gun from guard and opens fire,39,30,69,97K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775041750475690181,tweet_id:1775041750475690181
SB,@shateyaaxoxo,2024-04-03T05:20:16.000Z,False,nicki concert was literally EVERYTHING🥹,12,227,1.1K,58K,[],[],['\\U0001f979'],https://pbs.twimg.com/profile_images/1770478921781256192/RDBukQUD_normal.jpg,https://twitter.com/shateyaaxoxo/status/1775392854405255180,tweet_id:1775392854405255180
Shivon Zilis,@shivon,2024-04-02T23:00:35.000Z,True,"I’ve been hearing people ask at what point in a potential downfall should they leave the US. Now I hear the same from Canadians and Europeans.

The issues with all of this is where will you go? We all need to fight to keep our countries in order or there will be nowhere to run.",417,376,2.9K,485K,[],[],[],https://pbs.twimg.com/profile_images/755006920314937344/PPQ8LKFs_normal.jpg,https://twitter.com/shivon/status/1775297302602637714,tweet_id:1775297302602637714
DogeDesigner,@cb_doge,2024-04-02T23:04:23.000Z,True,💯,5,3,33,5.1K,[],[],['\\U0001f4af'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775298261907276130,tweet_id:1775298261907276130
billboard,@billboard,2024-04-02T21:24:02.000Z,True,.@Hozier Notches Second Hot Rock & Alternative Songs No. 1 With ‘Too Sweet’,3,37,256,29K,[],['@Hozier'],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775273006388154430,tweet_id:1775273006388154430
Tristan Tate,@TateTheTalisman,2024-04-03T08:11:24.000Z,True,Cigar night Q&A tonight at 8PM Universal Tate Time.https://rumble.com/v4mw9tr-cigar-night-q-and-a-with-tristan-tate-ep.11.html…,143,103,1.2K,960K,[],[],[],https://pbs.twimg.com/profile_images/1723734816506482688/dICo01oi_normal.jpg,https://twitter.com/TateTheTalisman/status/1775435922563014968,tweet_id:1775435922563014968
BBC News (World),@BBCWorld,2024-04-03T09:05:45.000Z,True,Stefano Cherchi: Jockey dies two weeks after fall at Canberra races,57,26,121,202K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775449597940293972,tweet_id:1775449597940293972
billboard,@billboard,2024-04-02T17:32:07.000Z,True,Hunter Schafer Opens Up About Dating Rosalía in 2019: ‘She’s Family No Matter What’,2,2,47,23K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775214642781897015,tweet_id:1775214642781897015
shawn,@son_minaj,2024-04-02T05:34:37.000Z,False,It’s everybody tonight with they pink on for mother 😢🩷🫶🏽 #GagCityDC @NICKIMINAJ,15,207,1.5K,64K,['#GagCityDC'],['@NICKIMINAJ'],"['\\U0001f622', '\\U0001fa77', '\\U0001faf6\\U0001f3fd']",https://pbs.twimg.com/profile_images/1775427224843268096/6yayoCWX_normal.jpg,https://twitter.com/son_minaj/status/1775034076975526254,tweet_id:1775034076975526254
K10,@Kristennetten,2024-04-03T08:18:12.000Z,True,"Elon a la Benjamin Franklin “in a Tesla” 

My Midjourney prompt was: Benjamin Franklin driving a Tesla 😆✨",23,9,138,6.6K,[],[],"['\\U0001f606', '\\u2728']",https://pbs.twimg.com/profile_images/1740168900351049728/nowmRoUN_normal.jpg,https://twitter.com/Kristennetten/status/1775437633122123849,tweet_id:1775437633122123849
DogeDesigner,@cb_doge,2024-04-03T09:54:19.000Z,True,🪄,5,2,20,2.6K,[],[],['\\U0001fa84'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775461823770189939,tweet_id:1775461823770189939
BBC News (World),@BBCWorld,2024-04-02T04:05:05.000Z,True,Why there's a revolution on the way in glass making,42,24,87,115K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775011547099566204,tweet_id:1775011547099566204
Sharriff Dyer II,@Sharriff2D,2024-03-10T22:14:31.000Z,True,#firebloodchallenge it Taste like Orange Juice 🍊 @alexstaofficial @Cobratate,23,12,743,140K,['#firebloodchallenge'],"['@alexstaofficial', '@Cobratate']",['\\U0001f34a'],https://pbs.twimg.com/profile_images/1401956461538942976/z_hvN7RT_normal.jpg,https://twitter.com/Sharriff2D/status/1766950789996761289,tweet_id:1766950789996761289
Andrew Tate,@Cobratate,2024-04-02T17:22:28.000Z,True,G,23,20,1K,73K,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775212215026487348,tweet_id:1775212215026487348
billboard,@billboard,2024-04-03T19:31:17.000Z,True,Made in America Festival Canceled for Second Consecutive Year,4,6,33,15K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775607020764176858,tweet_id:1775607020764176858
CONCRETE BOY BOAT^,@lilyachty,2024-04-03T21:33:31.000Z,True,“it’s us vol. 1” 4/5/24,159,1.1K,8.6K,357K,[],[],[],https://pbs.twimg.com/profile_images/1699945996032057344/uf6O65lR_normal.jpg,https://twitter.com/lilyachty/status/1775637779512254625,tweet_id:1775637779512254625
BBC News (World),@BBCWorld,2024-04-02T17:10:54.000Z,True,World Central Kitchen founder José Andrés criticises Israel over aid workers' deaths,137,261,863,176K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775209301860049322,tweet_id:1775209301860049322
billboard,@billboard,2024-04-02T15:42:05.000Z,True,Hot 100 First-Timers: Allison Russell Debuts With Hozier Team-Up ‘Wildflower and Barley’,7,22,136,30K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775186950795760104,tweet_id:1775186950795760104
Ellen !! FH,@STARabovethebay,2024-04-02T19:16:16.000Z,False,The list goes on and on and on,42,67,527,24K,[],[],[],https://pbs.twimg.com/profile_images/1775601722607443969/eOrskwfn_normal.jpg,https://twitter.com/STARabovethebay/status/1775240853046333540,tweet_id:1775240853046333540
billboard,@billboard,2024-04-02T05:55:01.000Z,True,"Ye and Ty Dolla $ign's ""Vultures"" listening parties won't go ahead.",3,9,49,24K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775039214050005084,tweet_id:1775039214050005084
Bitcoin Magazine,@BitcoinMagazine,2024-04-03T15:46:10.000Z,True,Coinbase is now officially integrating the #Bitcoin Lightning Network 👏Coinbase has over 100 MILLION users 🚀,320,1.2K,6.7K,215K,['#Bitcoin'],[],"['\\U0001f44f', '\\U0001f680']",https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg,https://twitter.com/BitcoinMagazine/status/1775550367243120956,tweet_id:1775550367243120956
DogeDesigner,@cb_doge,2024-04-02T05:20:00.000Z,True,Grok-1 vs Grok-1.5,237,221,1K,94K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775030400647328238,tweet_id:1775030400647328238
BITCOINLFG®,@bitcoinlfgo,2024-04-03T13:46:26.000Z,True,"BIG BREAKING 🚨ETHEREUM ETF APPROVAL 🚨SEC asks for public comment for Grayscale, Bitwise and Fidelity spot Ethereum ETFs",168,596,2.6K,272K,[],[],"['\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1615632961260630016/xalL53Zd_normal.jpg,https://twitter.com/bitcoinlfgo/status/1775520234369425582,tweet_id:1775520234369425582
billboard,@billboard,2024-04-04T01:01:36.000Z,True,GloRilla Recalls the ‘Beautiful Feeling’ of Visiting the White House: ‘I Still Haven’t Accepted the Reality of It’,4,4,29,12K,[],[],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775690147486376405,tweet_id:1775690147486376405
Buster Olney,@Buster_ESPN,2024-04-03T17:31:17.000Z,True,"Following their first playoff appearance in decades, the Marlins tried to demote GM Kim Ng. She turned that down and left the organization. The Marlins are behind early today and if they lose to the Angels, they'll be 0-7 to start this season.",328,750,6.4K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1631007216990933012/VEMPnWYE_normal.jpg,https://twitter.com/Buster_ESPN/status/1775576822060847511,tweet_id:1775576822060847511
Summer FOUND HEAVEN ✪,@nobodyseversrry,2024-04-03T22:05:07.000Z,False,THE MEANING BEHINF MISS YOU IS SO DEEP FUCK,3,0,15,632,[],[],[],https://pbs.twimg.com/profile_images/1774447622138322944/6Z_p-4xm_normal.jpg,https://twitter.com/nobodyseversrry/status/1775645734957670695,tweet_id:1775645734957670695
BBC News (World),@BBCWorld,2024-04-02T10:12:06.000Z,True,Ukraine war: Deepest Ukraine drone attack into Russian territory injures 12,107,97,642,168K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775103909951836207,tweet_id:1775103909951836207
